,Unnamed: 0,State,Head of state,Head of government,head_state_picture,head_gov_picture,flag
10,10,Germany,President – Frank-Walter Steinmeier,Federal Chancellor – Angela Merkel,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Frank-Walter_Steinmeier_-_2018_%28cropped%29.jpg/330px-Frank-Walter_Steinmeier_-_2018_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Angela_Merkel_2019_cropped.jpg/330px-Angela_Merkel_2019_cropped.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/250px-Flag_of_Germany.svg.png
11,11,Greece,President – Katerina Sakellaropoulou,Prime Minister – Kyriakos Mitsotakis,https://upload.wikimedia.org/wikipedia/commons/3/3e/President_Sakellaropoulou.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/EPP_Zagreb_Congress_in_Croatia%2C_20-21_November_2019_%2849099472986%29_%28cropped%29_2_%28cropped%29.jpg/330px-EPP_Zagreb_Congress_in_Croatia%2C_20-21_November_2019_%2849099472986%29_%28cropped%29_2_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/225px-Flag_of_Greece.svg.png
12,12,Hungary,President – János Áder,Prime Minister – Viktor Orbán,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ader_Janos.jpg/330px-Ader_Janos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Viktor_Orb%C3%A1n_2018.jpg/330px-Viktor_Orb%C3%A1n_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/270px-Flag_of_Hungary.svg.png
13,13,Ireland,President – Michael D. Higgins,Taoiseach – Micheál Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/President_Higgins%27s_visit_FINIRISH_BATT_HQ%2C_Lebanon_%28cropped%29.jpg/330px-President_Higgins%27s_visit_FINIRISH_BATT_HQ%2C_Lebanon_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Miche%C3%A1l_Martin_TD_%28cropped%29.jpg/330px-Miche%C3%A1l_Martin_TD_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/270px-Flag_of_Ireland.svg.png
14,14,Italy,President – Sergio Mattarella,President of the Council of Ministers – Mario Draghi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Presidente_Sergio_Mattarella.jpg/330px-Presidente_Sergio_Mattarella.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Mario_Draghi_2021_cropped.jpg/330px-Mario_Draghi_2021_cropped.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/225px-Flag_of_Italy.svg.png
15,15,Latvia,President – Egils Levits,Prime Minister – Krišjānis Kariņš,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Egils_Levits.jpg/330px-Egils_Levits.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kri%C5%A1j%C4%81nis_Kari%C5%86%C5%A1_2019_%28cropped%29.jpg/330px-Kri%C5%A1j%C4%81nis_Kari%C5%86%C5%A1_2019_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/270px-Flag_of_Latvia.svg.png
16,16,Lithuania,President – Gitanas Nausėda,Prime Minister – Ingrida Šimonytė,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Gitanas_Nauseda_crop.png/330px-Gitanas_Nauseda_crop.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/IngridaSimonyte.jpg/330px-IngridaSimonyte.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/250px-Flag_of_Lithuania.svg.png
17,17,Luxembourg,Grand Duke – Henri,Prime Minister – Xavier Bettel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/OSCE_PA_President_George_Tsereteli_and_the_Grand_Duke_of_Luxembourg_CROPPED_Henri.jpg/330px-OSCE_PA_President_George_Tsereteli_and_the_Grand_Duke_of_Luxembourg_CROPPED_Henri.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Xavier_Bettel%2C_2017.jpg/330px-Xavier_Bettel%2C_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/250px-Flag_of_Luxembourg.svg.png
18,18,Malta,President – George Vella,Prime Minister – Robert Abela,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Sebastian_Kurz_George_Vella_Federica_Mogherini_April_2017_%2834279674916%29_%28cropped%29.jpg/330px-Sebastian_Kurz_George_Vella_Federica_Mogherini_April_2017_%2834279674916%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Pm_robert_abela_malta_21022020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/225px-Flag_of_Malta.svg.png
19,19,Netherlands,King – Willem-Alexander,Prime Minister – Mark Rutte,http://pepperstreet.co.uk/clients/xeltis/wp-content/uploads/AFP_Getty-167814490-289x300.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Mark_Rutte%2C_2017.jpg/330px-Mark_Rutte%2C_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/225px-Flag_of_the_Netherlands.svg.png
20,20,Poland,President – Andrzej Duda,President of the Council of Ministers – Mateusz Morawiecki,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Prezydent_Rzeczypospolitej_Polskiej_Andrzej_Duda.jpg/330px-Prezydent_Rzeczypospolitej_Polskiej_Andrzej_Duda.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mateusz_Morawiecki_Prezes_Rady_Ministr%C3%B3w_%28cropped%29.jpg/330px-Mateusz_Morawiecki_Prezes_Rady_Ministr%C3%B3w_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/240px-Flag_of_Poland.svg.png
21,21,Portugal,President – Marcelo Rebelo de Sousa,Prime Minister – António Costa,https://upload.wikimedia.org/wikipedia/commons/0/02/Marcelo_Rebelo_de_Sousa_em_fevereiro_de_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Ant%C3%B3nio_Costa_em_2017.jpg/330px-Ant%C3%B3nio_Costa_em_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/225px-Flag_of_Portugal.svg.png
22,22,Romania,President – Klaus Iohannis,Prime Minister – Florin Cîțu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/President_Trump_Meets_with_the_President_of_Romania_%2848587349852%29_%28cropped%29.jpg/330px-President_Trump_Meets_with_the_President_of_Romania_%2848587349852%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Florin_C%C3%AE%C8%9Bu_-_jan_2020_%28cropped%29.jpg/330px-Florin_C%C3%AE%C8%9Bu_-_jan_2020_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/225px-Flag_of_Romania.svg.png
23,23,Slovakia,President – Zuzana Čaputová,Prime Minister – Eduard Heger,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Zuzana_%C4%8Caputov%C3%A1_%2820.6.2019%29VII.jpg/330px-Zuzana_%C4%8Caputov%C3%A1_%2820.6.2019%29VII.jpg,https://pbs.twimg.com/media/EaFv9p6WoAAuLly?format=jpg&name=small,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/225px-Flag_of_Slovakia.svg.png
24,24,Slovenia,President – Borut Pahor,Prime Minister – Janez Janša,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Borut_Pahor_2010.jpg/330px-Borut_Pahor_2010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Janez_Jan%C5%A1a_at_Helsinki_2018.jpg/330px-Janez_Jan%C5%A1a_at_Helsinki_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/270px-Flag_of_Slovenia.svg.png
25,25,Spain,King – Felipe VI,President of the Government – Pedro Sánchez,https://upload.wikimedia.org/wikipedia/commons/4/4b/King_Felipe_VI_of_Spain.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pedro_S%C3%A1nchez_in_2020.jpg/330px-Pedro_S%C3%A1nchez_in_2020.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/225px-Flag_of_Spain.svg.png
26,26,Sweden,King – Carl XVI Gustaf,Prime Minister – Stefan Löfven,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Crafoord_Prize_D81_9141_%2842282165922%29_%28cropped%29.jpg/330px-Crafoord_Prize_D81_9141_%2842282165922%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Stefan_L%C3%B6fven_efter_slutdebatten_i_SVT_2014_%28cropped%29.jpg/330px-Stefan_L%C3%B6fven_efter_slutdebatten_i_SVT_2014_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/240px-Flag_of_Sweden.svg.png
